POS,yearID,startingPos,G,R,H,HR,RBI,SB,BB
1B,2005.7333333333333,4.3076923076923075,141.40416666666667,86.87916666666666,156.01666666666668,28.316666666666666,96.7125,4.895833333333333,73.575
2B,2005.8828125,4.25531914893617,141.8046875,90.4375,165.1875,17.2578125,74.3984375,16.6484375,54.3046875
3B,2005.5,5.368421052631579,137.5974025974026,83.46753246753246,151.28571428571428,24.376623376623378,88.42207792207792,7.0,59.09090909090909
C,2005.0866141732283,2.12,122.75590551181102,61.503937007874015,129.4488188976378,17.590551181102363,70.85826771653544,3.0393700787401574,44.574803149606296
CF,2005.2962962962963,7.95,141.21604938271605,94.85185185185185,158.35802469135803,26.104938271604937,88.00617283950618,18.061728395061728,63.648148148148145
DH,1997.3831775700935,5.686274509803922,136.05607476635515,92.53271028037383,156.66355140186917,27.542056074766354,96.71028037383178,10.485981308411215,66.33644859813084
LF,2005.0279329608938,7.296296296296297,132.49720670391062,85.65921787709497,147.0167597765363,26.64245810055866,88.40223463687151,11.312849162011172,63.402234636871505
OF,2005.1048593350383,7.5,136.84910485933503,89.42966751918159,154.04347826086956,26.55242966751918,89.63171355498721,13.554987212276215,62.88235294117647
P,2006.1270903010034,1.1136363636363635,42.71739130434783,1.4501718213058419,3.5670103092783507,0.1872852233676976,1.5120274914089347,0.03264604810996564,0.936426116838488
RF,2005.2096774193549,7.555555555555555,137.79569892473117,87.73655913978494,156.6720430107527,26.198924731182796,91.2258064516129,11.78494623655914,61.18817204301075
SS,2004.8741721854306,5.803921568627451,139.25165562913907,87.35099337748345,162.25827814569536,17.894039735099337,74.49006622516556,16.225165562913908,50.24503311258278
